#,Name,Count
1,Srinivasan Venkatakrishnan,8
2,Sourav Pal,7
3,Subhajit Banerjee Purnapatra,6
4,Keerthighaan Kanagasegar,6
5,Revathy Manthri Rangaraj,5
6,Justin Antony,5
7,Venkatakrishnan S,4
8,Ranjith Kumar,4
9,Shyam Vasudeva Rao,4
10,Harshitha Prakash Chikkatur,2
11,Ronal Isaac Vettikattu,2
12,Sriram Padmanabhan,2
13,M. R. Bhatt / Mahabaleswara Ram Bhatt,2
14,K. Chandrasekhar / Chandrasekhar Kuppuswamy,2
15,Midhula Vijayan,1
16,Deepthi Keshav Prasad,1
17,Anagha Katti,1
18,Ravi Maniyal,1
19,Balaji Raghavendra S,1
20,Srinidhi Srinath,1
21,Bharath Hegde,1
22,Shivam Bharadwaj,1
23,Subhajit Banerjee,1
24,Spoorthi Ronal V,1
25,Kousar,1
