Sl. No.,Title,Author,Publisher,Link,Status
1,A Comprehensive Study on Artificial Intelligence for Classification and Segmentation of Age-Related Macular Degeneration in Fundus Images,"Madhura Prakash,
Deepthi K Prasad,
Spoorthi K,
Meghna S Kulkarni","Poster presentation in ""AI in Aging and Age-related Diseases"", Elsevier in association with Tongji University, China, November 2022",,Published
2,A Systematic Study of Deep Learning Architectures for Analysis of Glaucoma and Hypertensive Retinopathy,"Madhura Prakash,
Deepthi K Prasad, 
Spoorthi K, 
Meghna S Kulkarni, 
Venkatakrishnan S","International Journal of Artificial Intelligence & Applications (IJAIA), November 2022, Volume 13, Number 6 DOI: ",https://doi.org/10.5121/ijaia.2022.13603 ,Published
3,A Novel Method Using Deep Learning Technique for Automatic Grading and Classification of Interferometry Video Frames for Dry Eye Analysis,"Spoorthi K, 
Deepthi K Prasad, 
Sourav Pal, 
Venkatakrishnan S, 
Meghna S Kulkarni, 
Madhura Prakash",Indian Journal of Computer Science and Engineering (IJCSE)  April 2023 issue  ,https://doi.org/10.21817/indjcse/2023/v14i2/231402092,Published
4,A Regression-Based Approach to Diabetic Retinopathy Diagnosis Using Efficient Net,"Midhula Vijayan, 
Venkatakrishnan S","Diagnostics, MDPI, 13, no. 4 (2023)  ",https://doi.org/10.3390/diagnostics13040774,Published
5,A Multi-stage Approach for Cardiovascular Risk Assessment from Retinal Images using an Amalgamation of Deep Learning and Computer Vision Techniques ,"Deepthi K Prasad, 
Madhura Prakash M, 
Meghna S Kulkarni, 
Spoorthi K, 
Venkatakrishnan S, 
Madhulika Chakravarthi B, 
Anusha Ramesh ","Diagnostics , MDPI,2024, 14, 928.  ",https://doi.org/10.3390/diagnostics14090928 ,Published
6,Advancing Glaucoma Diagnosis: Employing Confidence-Calibrated Label Smoothing Loss for Model Calibration,"Midhula Vijayan, 
Deepthi K Prasad, 
Venkatakrishnan S","American Academy of Ophthalmology (AAO), 2024, Published by Elsevier,  ",https://doi.org/10.1016/j.xops.2024.100555,Published
7,Swift Sight: A Rapid Two-Step AI-Assisted Pediatric Eye Screening Solution,"Venkatakrishnan S, Kousar Sidiq","Poster presentation in ""The International Agency for the Prevention of Blindness (IAPB)""",,Published
8,Evaluation of Green Filter Leakage in the Worth 4 Dot Test: Implications for Clinical Accuracy,"Ronal Vettikattu, Kousar Sidiq",Indian Journal of Ophthalmology,https://doi.org/10.4103/IJO.IJO_42_25,Published
9,AI-Powered Eyewear Kiosk – The Future of Spectacle Experience,"Venkatakrishnan S, Kousar Sidiq","Poster presentation in ""2025 Optometry's Meeting – 5th World Congress of Optometry""",,Published
10,World first wireless subjective refractor with advance liquid lens technology incommunity eyecare,"Dr Kaushik Murali, Dr Disha, Dr Namratha, Venkatakrishnan S",Oral presentation at Asia Pacific Academy of Opthalmology Congress Hongkong,,Published
11,Remote Refraction using a Liquid Lens-Based Wearable Subjective Refractor in Teleoptometry,"Venkatakrishnan S, Kousar Sidiq",Indian Journal of Ophthalmology,,Under Revision
12,Validation of 3nethra specto Wearable Digital Subjective Refractor vs Concentional Subjective Refraction for refractive error measurement in young adults.,"Dr Kaushik Murli, Dr Namratha, Venkat, Revathy, Rashmi",British Journal of opthalmology,,Under Revision
13,AI Assisted Anterior segment image analysis for rapid and accurate diagnosis of common red eye condition.,"Venkatakrishnan S, Kousar Sidiq & Spoorthi",Oral presentation at World opthalmology congress - Prague,,Published
14,AI based binocular image analysis for objective tropia measurements ,"Ronal Vettikattu, Kousar Sidiq & Venkatakrishnan S",Poster presentation at World Opthalmology Congress - Prague,,Published
15,Bridging Distance- Evaluation of a Digital Wearable Refractor for Remote Subjective Refraction,"Dr Kaushik Murali, Dr Namratha, Venkatakrishnan S",Poster presentation at All India Opthalmology Congress,,Published
